RowID,OrderDate,OrderPriority,OrderQuantity,Sales,ShipMode,ShippingCost,CustomerName,CustomerSegment,ProductCategory,ProductContainer,ShipDate
1,2010-10-13,Low,6,261.54,Regular Air,35,Muhammed MacIntyre,Small Business,Office Supplies,Large Box,2010-10-20
49,2012-10-01,High,49,10123.02,Delivery Truck,68.02,Barry French,Consumer,Office Supplies,Jumbo Drum,2012-10-02
50,2012-10-01,High,27,244.57,Regular Air,2.99,Barry French,Consumer,Office Supplies,Small Box,2012-10-03
80,2011-07-10,High,30,4965.7595,Regular Air,3.99,Clay Rozendal,Corporate,Technology,Small Box,2011-07-12
85,2010-08-28,Not Specified,19,394.27,Regular Air,5.94,Carlos Soltero,Consumer,Office Supplies,Medium Box,2010-08-30
86,2010-08-28,Not Specified,21,146.69,Regular Air,4.95,Carlos Soltero,Consumer,Furniture,Small Pack,2010-08-30
97,2011-06-17,High,12,93.54,Regular Air,7.72,Carl Jackson,Corporate,Office Supplies,Small Box,2011-06-17
98,2011-06-17,High,22,905.08,Regular Air,6.22,Carl Jackson,Corporate,Office Supplies,Small Box,2011-06-18
103,2011-03-24,High,21,2781.82,Express Air,35,Monica Federle,Corporate,Office Supplies,Large Box,2011-03-25
107,2010-02-26,Low,44,228.41,Regular Air,8.33,Dorothy Badders,Home Office,Office Supplies,Small Box,2010-02-26
127,2010-11-23,Medium,45,196.85,Regular Air,6.18,Neola Schneider,Home Office,Office Supplies,Small Box,2010-11-24
128,2010-11-23,Medium,32,124.56,Regular Air,2,Neola Schneider,Home Office,Office Supplies,Wrap Bag,2010-11-24
134,2012-06-08,Not Specified,32,716.84,Regular Air,5.94,Carlos Daly,Home Office,Office Supplies,Medium Box,2012-06-09
135,2012-06-08,Not Specified,31,1474.33,Regular Air,3.61,Carlos Daly,Home Office,Technology,Small Pack,2012-06-10
149,2012-08-04,Not Specified,15,80.61,Regular Air,2.99,Claudia Miner,Small Business,Office Supplies,Small Box,2012-08-04
160,2011-05-30,Medium,46,1815.49,Regular Air,3.04,Neola Schneider,Home Office,Furniture,Wrap Bag,2011-05-31
161,2009-11-25,Not Specified,16,248.26,Regular Air,1.39,Allen Rosenblatt,Small Business,Office Supplies,Small Box,2009-11-26
175,2012-02-14,Critical,44,4462.23,Delivery Truck,26.22,Sylvia Foulston,Home Office,Furniture,Jumbo Box,2012-02-16
176,2012-02-14,Critical,11,663.784,Regular Air,69,Sylvia Foulston,Home Office,Furniture,Large Box,2012-02-16
203,2012-04-15,Low,15,834.904,Regular Air,5.26,Jim Radford,Corporate,Technology,Small Box,2012-04-22
204,2012-04-15,Low,18,2480.9205,Regular Air,8.99,Jim Radford,Corporate,Technology,Small Box,2012-04-19
213,2010-03-12,Not Specified,13,59.03,Express Air,0.5,Carlos Soltero,Consumer,Office Supplies,Small Box,2010-03-14
214,2010-03-12,Not Specified,21,97.48,Regular Air,0.7,Carlos Soltero,Consumer,Office Supplies,Wrap Bag,2010-03-14
229,2011-03-09,Low,33,511.83,Regular Air,13.18,Carl Ludwig,Corporate,Office Supplies,Small Box,2011-03-11
230,2011-03-09,Low,38,184.99,Regular Air,4.93,Carl Ludwig,Corporate,Technology,Small Pack,2011-03-14
231,2012-08-04,High,30,80.9,Regular Air,0.7,Don Miller,Home Office,Office Supplies,Wrap Bag,2012-08-06
249,2011-05-06,High,23,67.24,Regular Air,0.93,Annie Cyprus,Home Office,Office Supplies,Wrap Bag,2011-05-07
250,2010-12-23,High,25,12028.23,Delivery Truck,49,Carl Ludwig,Corporate,Technology,Jumbo Drum,2010-12-25
256,2010-11-08,Low,28,370.48,Regular Air,4.51,Carlos Soltero,Consumer,Office Supplies,Small Box,2010-11-13
330,2012-10-21,Not Specified,49,278,Regular Air,1.17,Grant Carroll,Small Business,Office Supplies,Wrap Bag,2012-10-22
331,2011-01-01,Not Specified,10,66.54,Regular Air,4.38,Don Miller,Home Office,Technology,Small Pack,2011-01-02
332,2011-01-01,Not Specified,21,845.32,Regular Air,19.99,Don Miller,Home Office,Office Supplies,Small Box,2011-01-03
362,2011-10-10,High,39,282.07,Regular Air,0.49,Alan Barnes,Corporate,Office Supplies,Small Box,2011-10-11
363,2011-10-10,High,24,426.037,Regular Air,2.5,Alan Barnes,Corporate,Technology,Wrap Bag,2011-10-11
381,2010-09-23,Low,27,1078.49,Regular Air,1.99,Jack Garza,Corporate,Technology,Small Pack,2010-09-25
406,2011-07-19,Critical,39,3554.46,Delivery Truck,74.35,Julia West,Corporate,Furniture,Jumbo Drum,2011-07-19
413,2009-10-09,High,47,191.67,Regular Air,7.01,Eugene Barchas,Corporate,Office Supplies,Small Box,2009-10-09
414,2009-10-09,High,49,5586.33,Delivery Truck,30,Eugene Barchas,Corporate,Furniture,Jumbo Drum,2009-10-11
415,2009-10-09,High,18,507.64,Regular Air,5.76,Eugene Barchas,Corporate,Office Supplies,Small Box,2009-10-10
440,2010-12-09,Not Specified,30,14223.82,Delivery Truck,26,Edward Hooks,Consumer,Furniture,Jumbo Drum,2010-12-11
471,2012-10-08,Critical,5,42.66,Regular Air,4.71,Brad Eason,Small Business,Office Supplies,Small Box,2012-10-10
513,2012-05-02,High,21,427.32,Regular Air,9.03,Nicole Hansen,Small Business,Office Supplies,Small Box,2012-05-03
577,2010-03-08,Medium,8,820.284,Regular Air,2.5,Dorothy Wardle,Corporate,Technology,Small Box,2010-03-08
606,2011-05-28,Not Specified,5,14.76,Regular Air,0.5,Aaron Bergman,Corporate,Office Supplies,Small Box,2011-05-30
656,2010-09-19,Medium,9,89.55,Regular Air,49,Jim Radford,Corporate,Office Supplies,Large Box,2010-09-21
