id,OrderDate,OrderPriority,OrderQuantity,Sales,ShipMode,ShippingCost,CustomerName,CustomerSegment,ProductCategory,ProductContainer,ShipDate
1,10/13/2010,Low,6,261.54,Regular Air,35,Muhammed MacIntyre,Small Business,Office Supplies,Large Box,10/20/2010
49,10/1/2012,High,49,10123.02,Delivery Truck,68.02,Barry French,Consumer,Office Supplies,Jumbo Drum,10/2/2012
50,10/1/2012,High,27,244.57,Regular Air,2.99,Barry French,Consumer,Office Supplies,Small Box,10/3/2012
80,7/10/2011,High,30,4965.7595,Regular Air,3.99,Clay Rozendal,Corporate,Technology,Small Box,7/12/2011
85,8/28/2010,Not Specified,19,394.27,Regular Air,5.94,Carlos Soltero,Consumer,Office Supplies,Medium Box,8/30/2010
86,8/28/2010,Not Specified,21,146.69,Regular Air,4.95,Carlos Soltero,Consumer,Furniture,Small Pack,8/30/2010
97,6/17/2011,High,12,93.54,Regular Air,7.72,Carl Jackson,Corporate,Office Supplies,Small Box,6/17/2011
98,6/17/2011,High,22,905.08,Regular Air,6.22,Carl Jackson,Corporate,Office Supplies,Small Box,6/18/2011
103,3/24/2011,High,21,2781.82,Express Air,35,Monica Federle,Corporate,Office Supplies,Large Box,3/25/2011
107,2/26/2010,Low,44,228.41,Regular Air,8.33,Dorothy Badders,Home Office,Office Supplies,Small Box,2/26/2010
127,11/23/2010,Medium,45,196.85,Regular Air,6.18,Neola Schneider,Home Office,Office Supplies,Small Box,11/24/2010
128,11/23/2010,Medium,32,124.56,Regular Air,2,Neola Schneider,Home Office,Office Supplies,Wrap Bag,11/24/2010
134,6/8/2012,Not Specified,32,716.84,Regular Air,5.94,Carlos Daly,Home Office,Office Supplies,Medium Box,6/9/2012
135,6/8/2012,Not Specified,31,1474.33,Regular Air,3.61,Carlos Daly,Home Office,Technology,Small Pack,6/10/2012
149,8/4/2012,Not Specified,15,80.61,Regular Air,2.99,Claudia Miner,Small Business,Office Supplies,Small Box,8/4/2012
160,5/30/2011,Medium,46,1815.49,Regular Air,3.04,Neola Schneider,Home Office,Furniture,Wrap Bag,5/31/2011
161,11/25/2009,Not Specified,16,248.26,Regular Air,1.39,Allen Rosenblatt,Small Business,Office Supplies,Small Box,11/26/2009
175,2/14/2012,Critical,44,4462.23,Delivery Truck,26.22,Sylvia Foulston,Home Office,Furniture,Jumbo Box,2/16/2012
176,2/14/2012,Critical,11,663.784,Regular Air,69,Sylvia Foulston,Home Office,Furniture,Large Box,2/16/2012
203,4/15/2012,Low,15,834.904,Regular Air,5.26,Jim Radford,Corporate,Technology,Small Box,4/22/2012
204,4/15/2012,Low,18,2480.9205,Regular Air,8.99,Jim Radford,Corporate,Technology,Small Box,4/19/2012
213,3/12/2010,Not Specified,13,59.03,Express Air,0.5,Carlos Soltero,Consumer,Office Supplies,Small Box,3/14/2010
214,3/12/2010,Not Specified,21,97.48,Regular Air,0.7,Carlos Soltero,Consumer,Office Supplies,Wrap Bag,3/14/2010
229,3/9/2011,Low,33,511.83,Regular Air,13.18,Carl Ludwig,Corporate,Office Supplies,Small Box,3/11/2011
230,3/9/2011,Low,38,184.99,Regular Air,4.93,Carl Ludwig,Corporate,Technology,Small Pack,3/14/2011
231,8/4/2012,High,30,80.9,Regular Air,0.7,Don Miller,Home Office,Office Supplies,Wrap Bag,8/6/2012
249,5/6/2011,High,23,67.24,Regular Air,0.93,Annie Cyprus,Home Office,Office Supplies,Wrap Bag,5/7/2011
250,12/23/2010,High,25,12028.23,Delivery Truck,49,Carl Ludwig,Corporate,Technology,Jumbo Drum,12/25/2010
256,11/8/2010,Low,28,370.48,Regular Air,4.51,Carlos Soltero,Consumer,Office Supplies,Small Box,11/13/2010
330,10/21/2012,Not Specified,49,278,Regular Air,1.17,Grant Carroll,Small Business,Office Supplies,Wrap Bag,10/22/2012
331,1/1/2011,Not Specified,10,66.54,Regular Air,4.38,Don Miller,Home Office,Technology,Small Pack,1/2/2011
332,1/1/2011,Not Specified,21,845.32,Regular Air,19.99,Don Miller,Home Office,Office Supplies,Small Box,1/3/2011
362,10/10/2011,High,39,282.07,Regular Air,0.49,Alan Barnes,Corporate,Office Supplies,Small Box,10/11/2011
363,10/10/2011,High,24,426.037,Regular Air,2.5,Alan Barnes,Corporate,Technology,Wrap Bag,10/11/2011
381,9/23/2010,Low,27,1078.49,Regular Air,1.99,Jack Garza,Corporate,Technology,Small Pack,9/25/2010
406,7/19/2011,Critical,39,3554.46,Delivery Truck,74.35,Julia West,Corporate,Furniture,Jumbo Drum,7/19/2011
413,10/9/2009,High,47,191.67,Regular Air,7.01,Eugene Barchas,Corporate,Office Supplies,Small Box,10/9/2009
414,10/9/2009,High,49,5586.33,Delivery Truck,30,Eugene Barchas,Corporate,Furniture,Jumbo Drum,10/11/2009
415,10/9/2009,High,18,507.64,Regular Air,5.76,Eugene Barchas,Corporate,Office Supplies,Small Box,10/10/2009
440,12/9/2010,Not Specified,30,14223.82,Delivery Truck,26,Edward Hooks,Consumer,Furniture,Jumbo Drum,12/11/2010
471,10/8/2012,Critical,5,42.66,Regular Air,4.71,Brad Eason,Small Business,Office Supplies,Small Box,10/10/2012
513,5/2/2012,High,21,427.32,Regular Air,9.03,Nicole Hansen,Small Business,Office Supplies,Small Box,5/3/2012
577,3/8/2010,Medium,8,820.284,Regular Air,2.5,Dorothy Wardle,Corporate,Technology,Small Box,3/8/2010
606,5/28/2011,Not Specified,5,14.76,Regular Air,0.5,Aaron Bergman,Corporate,Office Supplies,Small Box,5/30/2011
656,9/19/2010,Medium,9,89.55,Regular Air,49,Jim Radford,Corporate,Office Supplies,Large Box,9/21/2010
669,8/31/2011,High,11,1210.0515,Regular Air,7.69,Annie Cyprus,Home Office,Technology,Small Box,9/1/2011
670,8/31/2011,High,50,187.83,Regular Air,0.5,Annie Cyprus,Home Office,Office Supplies,Small Box,9/2/2011
671,8/31/2011,High,3,49.59,Express Air,6.47,Annie Cyprus,Home Office,Office Supplies,Small Box,9/2/2011
672,8/31/2011,High,30,4253.009,Regular Air,8.99,Annie Cyprus,Home Office,Technology,Small Box,9/1/2011
734,7/8/2011,Not Specified,7,59.38,Regular Air,2.99,Annie Cyprus,Home Office,Office Supplies,Small Box,7/10/2011
735,1/30/2009,Critical,42,1285.37,Regular Air,1.99,Clay Rozendal,Corporate,Technology,Small Pack,2/1/2009
755,1/8/2012,Low,11,48.91,Regular Air,2.97,Don Jones,Corporate,Office Supplies,Wrap Bag,1/13/2012
769,11/7/2010,Critical,22,129.62,Regular Air,3.04,Beth Thompson,Corporate,Office Supplies,Wrap Bag,11/8/2010
782,4/29/2010,Not Specified,12,118.97,Regular Air,6.22,Frank Price,Corporate,Furniture,Small Box,5/1/2010
786,12/31/2011,Not Specified,8,61.8715,Regular Air,5.03,Michelle Lonsdale,Home Office,Technology,Medium Box,1/3/2012
817,8/12/2009,High,7,384.33,Regular Air,1.49,Ann Chong,Corporate,Office Supplies,Small Box,8/13/2009
818,8/12/2009,High,3,239.03,Regular Air,4.5,Ann Chong,Corporate,Office Supplies,Small Box,8/15/2009
821,11/12/2011,Low,44,3922.42,Regular Air,39.61,Joy Bell,Home Office,Furniture,Medium Box,11/19/2011
822,11/12/2011,Low,25,1733.3625,Regular Air,0.99,Joy Bell,Home Office,Technology,Wrap Bag,11/19/2011
839,1/20/2012,High,19,208.28,Regular Air,5.43,Skye Norling,Home Office,Office Supplies,Small Box,1/20/2012
853,3/20/2009,Medium,6,9620.82,Regular Air,24.49,Barry Weirich,Corporate,Office Supplies,Medium Box,3/22/2009
863,7/21/2012,Low,40,255.48,Regular Air,6.65,Grant Carroll,Corporate,Office Supplies,Small Box,7/28/2012
864,7/21/2012,Low,18,130.32,Express Air,7.86,Grant Carroll,Corporate,Office Supplies,Small Box,7/25/2012
911,6/12/2012,Critical,11,312.36,Express Air,8.99,Adrian Hane,Corporate,Office Supplies,Small Pack,6/15/2012
950,1/15/2009,Low,41,217,Regular Air,4.75,Skye Norling,Home Office,Office Supplies,Small Box,1/20/2009
951,1/15/2009,Low,47,296.13,Regular Air,1.02,Skye Norling,Home Office,Office Supplies,Wrap Bag,1/20/2009
956,6/4/2010,Low,40,436.17,Express Air,7.46,Andrew Gjertsen,Consumer,Office Supplies,Small Box,6/8/2010
963,2/18/2010,Not Specified,18,136.29,Regular Air,7.72,Ralph Knight,Consumer,Office Supplies,Small Box,2/19/2010
964,11/16/2011,Not Specified,32,1311.25,Express Air,1.99,Dorothy Wardle,Corporate,Technology,Small Pack,11/18/2011
965,11/16/2011,Not Specified,5,544.41,Delivery Truck,57.38,Dorothy Wardle,Corporate,Furniture,Jumbo Box,11/18/2011
966,11/16/2011,Not Specified,41,844.09,Regular Air,10.49,Dorothy Wardle,Corporate,Furniture,Small Box,11/18/2011
988,8/7/2011,Low,22,6396.2,Regular Air,24.49,Grant Carroll,Corporate,Furniture,Large Box,8/11/2011
1017,6/8/2010,Medium,50,751.77,Regular Air,1.39,Barry Weirich,Corporate,Office Supplies,Small Box,6/9/2010
1073,10/17/2009,Medium,37,1003.06,Regular Air,5.37,Beth Paige,Consumer,Office Supplies,Medium Box,10/17/2009
1154,8/28/2011,High,4,1266.72,Delivery Truck,64.73,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,8/29/2011
1156,9/29/2011,Critical,19,368.04,Express Air,5.97,Nicole Hansen,Small Business,Office Supplies,Small Box,10/1/2011
1157,9/29/2011,Critical,24,152.6,Regular Air,7.03,Nicole Hansen,Small Business,Office Supplies,Small Box,9/30/2011
1205,5/4/2012,Low,40,3338.98,Regular Air,35,Nicole Hansen,Small Business,Office Supplies,Large Box,5/8/2012
1226,5/17/2011,High,5,24.16,Express Air,1.49,Beth Paige,Consumer,Office Supplies,Small Box,5/18/2011
1227,5/17/2011,High,41,270.84,Express Air,5.86,Beth Paige,Consumer,Office Supplies,Small Box,5/18/2011
1228,5/17/2011,High,35,3389.93,Express Air,21.26,Beth Paige,Consumer,Furniture,Large Box,5/18/2011
1229,5/17/2011,High,42,266.36,Regular Air,8.19,Beth Paige,Consumer,Office Supplies,Small Box,5/18/2011
1230,5/17/2011,High,46,89.41,Regular Air,0.76,Beth Paige,Consumer,Office Supplies,Wrap Bag,5/19/2011
1258,11/17/2009,Medium,47,2799.7,Regular Air,3.99,Sylvia Foulston,Corporate,Office Supplies,Small Box,11/18/2009
1259,10/10/2011,Not Specified,7,2039.56,Express Air,35,Bryan Davis,Corporate,Office Supplies,Large Box,10/12/2011
1299,10/7/2012,Not Specified,36,12175.82,Delivery Truck,58.95,Joy Bell,Home Office,Furniture,Jumbo Drum,10/8/2012
1300,10/7/2012,Not Specified,5,101.21,Express Air,5.21,Joy Bell,Home Office,Office Supplies,Small Box,10/8/2012
1301,10/7/2012,Not Specified,32,1585.64,Regular Air,5.81,Joy Bell,Home Office,Office Supplies,Small Box,10/7/2012
1337,8/13/2011,Medium,44,176.26,Regular Air,0.5,Alan Barnes,Corporate,Office Supplies,Small Box,8/16/2011
1370,8/16/2011,High,32,4655.07,Delivery Truck,53.48,Grant Carroll,Corporate,Furniture,Jumbo Box,8/17/2011
1371,8/16/2011,High,44,10087.6,Regular Air,18.06,Grant Carroll,Corporate,Furniture,Large Box,8/17/2011
1372,8/16/2011,High,34,1608.08,Express Air,6.5,Grant Carroll,Corporate,Technology,Small Box,8/17/2011
1380,3/4/2009,Low,1,12.18,Regular Air,2.27,Delfina Latchford,Small Business,Office Supplies,Wrap Bag,3/4/2009
1445,8/18/2009,Critical,50,820.52,Regular Air,13.18,Don Jones,Corporate,Office Supplies,Small Box,8/20/2009
1457,11/16/2010,Not Specified,29,6250.936,Delivery Truck,62.74,Doug Bickford,Corporate,Furniture,Jumbo Box,11/17/2010
1462,5/27/2011,Low,25,854.88,Regular Air,19.99,Doug Bickford,Corporate,Furniture,Small Box,5/29/2011
1463,5/27/2011,Low,46,80.27,Regular Air,0.7,Doug Bickford,Corporate,Office Supplies,Wrap Bag,6/3/2011
1495,8/23/2010,Not Specified,15,308.54,Express Air,4.1,Jamie Kunitz,Corporate,Office Supplies,Wrap Bag,8/24/2010
1496,8/19/2011,Not Specified,20,400.57,Regular Air,5.77,Anthony Johnson,Small Business,Office Supplies,Small Box,8/21/2011
1513,1/3/2012,Medium,14,1170.025,Regular Air,8.99,Ralph Knight,Consumer,Technology,Small Box,1/5/2012
1544,11/29/2012,High,48,5188.86,Regular Air,8.64,Allen Rosenblatt,Small Business,Office Supplies,Small Box,11/30/2012
1551,3/17/2012,Medium,8,339.81,Regular Air,2.99,Barry Weirich,Corporate,Office Supplies,Small Box,3/18/2012
1589,4/12/2010,Low,15,1519.9,Regular Air,24.49,Doug Bickford,Corporate,Furniture,Large Box,4/19/2010
1590,8/24/2010,High,30,102.24,Regular Air,0.5,Carl Jackson,Home Office,Office Supplies,Small Box,8/26/2010
1594,7/4/2011,High,6,965.69,Delivery Truck,43.75,Brendan Dodson,Corporate,Furniture,Jumbo Box,7/5/2011
1654,11/10/2010,Critical,25,397.84,Regular Air,9.73,Edward Hooks,Consumer,Office Supplies,Small Box,11/12/2010
1655,6/24/2010,Critical,4,73.07,Regular Air,11.25,Jamie Kunitz,Corporate,Office Supplies,Small Box,6/25/2010
1656,6/24/2010,Critical,26,4679.1,Delivery Truck,29.21,Jamie Kunitz,Corporate,Furniture,Jumbo Box,6/25/2010
1675,9/19/2012,Medium,46,8009.5925,Regular Air,8.08,Michelle Lonsdale,Home Office,Technology,Small Box,9/19/2012
1676,9/19/2012,Medium,23,4689.66,Regular Air,11.54,Michelle Lonsdale,Home Office,Furniture,Large Box,9/21/2012
1710,12/24/2011,Low,25,3019.41,Regular Air,7.11,Brendan Dodson,Corporate,Technology,Medium Box,12/28/2011
1718,3/23/2012,Medium,5,36.86,Regular Air,8.49,Hunter Glantz,Corporate,Office Supplies,Small Box,3/24/2012
1727,10/15/2011,Critical,12,22079.47,Regular Air,13.99,Sylvia Foulston,Corporate,Technology,Medium Box,10/17/2011
1745,8/7/2010,Critical,24,5407.31,Delivery Truck,28.16,Eugene Barchas,Home Office,Furniture,Jumbo Drum,8/8/2010
1751,3/3/2009,Low,34,74.3,Regular Air,5.33,Jim Radford,Corporate,Furniture,Small Box,3/10/2009
1770,2/9/2010,Low,44,21506.77,Regular Air,24.49,Carlos Soltero,Small Business,Technology,Large Box,2/9/2010
1771,2/9/2010,Low,28,669.02,Delivery Truck,53.03,Carlos Soltero,Small Business,Office Supplies,Jumbo Drum,2/11/2010
1781,1/17/2009,Critical,40,1143.49,Regular Air,19.99,Carlos Soltero,Small Business,Office Supplies,Small Box,1/17/2009
1782,1/17/2009,Critical,46,78.08,Regular Air,1.57,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,1/19/2009
1806,8/30/2010,Critical,19,5297.47,Delivery Truck,50,Jim Radford,Corporate,Furniture,Jumbo Drum,8/31/2010
1807,8/30/2010,Critical,20,95.3,Regular Air,1.22,Jim Radford,Corporate,Office Supplies,Wrap Bag,8/31/2010
1842,9/11/2009,High,40,460.68,Regular Air,7.46,Grant Carroll,Small Business,Office Supplies,Small Box,9/12/2009
1843,9/11/2009,High,49,318.7585,Regular Air,5.03,Grant Carroll,Small Business,Technology,Medium Box,9/12/2009
1848,7/16/2009,Not Specified,47,1020.61,Regular Air,13.99,Skye Norling,Home Office,Office Supplies,Medium Box,7/17/2009
1855,11/15/2012,Low,44,268.34,Regular Air,8.88,Doug Bickford,Corporate,Office Supplies,Small Box,11/20/2012
1913,9/10/2011,Low,6,209,Regular Air,7.5,Grant Carroll,Small Business,Office Supplies,Small Box,9/14/2011
1928,4/10/2011,Not Specified,30,501.32,Regular Air,13.18,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,4/13/2011
1929,4/10/2011,Not Specified,23,275.16,Express Air,5.01,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,4/13/2011
1930,4/10/2011,Not Specified,37,1302.99,Regular Air,5.09,Muhammed MacIntyre,Small Business,Office Supplies,Small Box,4/11/2011
1978,10/9/2011,High,1,40.1,Regular Air,11.63,Doug Bickford,Small Business,Office Supplies,Small Box,10/11/2011
1979,10/9/2011,High,42,1414.05,Regular Air,14.72,Doug Bickford,Small Business,Office Supplies,Small Box,10/10/2011
2013,10/23/2012,Critical,34,5350.61,Delivery Truck,60.49,Beth Thompson,Corporate,Furniture,Jumbo Box,10/25/2012
2058,1/8/2012,Low,15,310.87,Regular Air,4,Ralph Knight,Consumer,Technology,Small Box,1/8/2012
2070,1/25/2010,Not Specified,48,9062.73,Regular Air,0.99,Carl Jackson,Home Office,Office Supplies,Small Box,1/27/2010
2071,1/25/2010,Not Specified,27,1584.1,Delivery Truck,36.61,Carl Jackson,Home Office,Furniture,Jumbo Box,1/26/2010
2114,1/27/2011,Not Specified,42,283.58,Regular Air,4.95,Dorothy Badders,Home Office,Furniture,Small Pack,1/29/2011
2115,1/27/2011,Not Specified,39,5403.37,Delivery Truck,17.85,Dorothy Badders,Home Office,Technology,Jumbo Drum,1/27/2011
2116,1/27/2011,Not Specified,35,82.15,Regular Air,1.12,Dorothy Badders,Home Office,Office Supplies,Wrap Bag,1/29/2011
2117,8/27/2009,High,50,2066.16,Regular Air,17.48,Delfina Latchford,Small Business,Office Supplies,Small Box,8/29/2009
2129,3/17/2011,Critical,18,4605.36,Delivery Truck,43.32,Julia West,Corporate,Furniture,Jumbo Drum,3/19/2011
2130,3/17/2011,Critical,42,1753.51,Regular Air,9.2,Julia West,Corporate,Furniture,Wrap Bag,3/18/2011
2161,6/6/2012,Critical,31,426.34,Regular Air,5.16,Brad Eason,Small Business,Furniture,Small Box,6/8/2012
2206,4/11/2011,High,36,1837.44,Delivery Truck,54.11,Thomas Seio,Home Office,Furniture,Jumbo Box,4/13/2011
2207,4/11/2011,High,36,3722.29,Express Air,13.99,Thomas Seio,Home Office,Furniture,Medium Box,4/14/2011
2208,4/11/2011,High,4,28.05,Regular Air,2.17,Thomas Seio,Home Office,Office Supplies,Wrap Bag,4/12/2011
2209,11/6/2012,Low,32,311.44,Regular Air,1.99,Monica Federle,Corporate,Technology,Small Pack,11/10/2012
2210,11/6/2012,Low,17,215.65,Express Air,2.85,Monica Federle,Corporate,Furniture,Small Pack,11/15/2012
2221,5/16/2012,High,3,121.12,Regular Air,1.99,Michelle Lonsdale,Home Office,Technology,Small Pack,5/17/2012
2246,4/9/2012,Not Specified,8,300.2,Regular Air,8.22,Frank Price,Corporate,Office Supplies,Small Box,4/11/2012
2247,4/9/2012,Not Specified,29,1364.8025,Regular Air,5,Frank Price,Corporate,Technology,Small Pack,4/11/2012
2281,8/5/2012,Medium,19,128.21,Regular Air,6.57,Bryan Davis,Corporate,Office Supplies,Small Box,8/7/2012
2283,7/22/2009,Not Specified,9,252.79,Regular Air,2.99,Don Jones,Corporate,Office Supplies,Small Box,7/23/2009
2294,5/9/2010,Not Specified,10,50.97,Regular Air,0.73,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,5/11/2010
2295,5/9/2010,Not Specified,1,4.99,Regular Air,1.32,Carlos Soltero,Small Business,Office Supplies,Wrap Bag,5/11/2010
2296,2/18/2009,Not Specified,30,10554.63,Delivery Truck,58.92,Nicole Hansen,Corporate,Furniture,Jumbo Drum,2/20/2009
2297,2/18/2009,Not Specified,8,1749.64,Delivery Truck,69.64,Nicole Hansen,Corporate,Furniture,Jumbo Box,2/18/2009
2316,6/27/2012,High,47,1943.72,Regular Air,34.2,Beth Thompson,Corporate,Furniture,Wrap Bag,6/28/2012
2317,6/27/2012,High,6,18.37,Regular Air,1.2,Beth Thompson,Corporate,Office Supplies,Wrap Bag,6/28/2012
2318,6/27/2012,High,49,6175.777,Express Air,3.9,Beth Thompson,Corporate,Technology,Small Box,6/29/2012
2323,9/30/2010,Medium,6,157.97,Regular Air,16.87,Nicole Hansen,Small Business,Office Supplies,Small Box,10/1/2010
2346,4/15/2010,Critical,25,144.84,Regular Air,8.09,Carlos Soltero,Consumer,Office Supplies,Small Box,4/16/2010
2347,4/15/2010,Critical,20,127.16,Regular Air,1.56,Carlos Soltero,Consumer,Office Supplies,Wrap Bag,4/15/2010
2383,9/14/2011,Not Specified,4,5472.12,Delivery Truck,14.7,Dorothy Badders,Home Office,Technology,Jumbo Drum,9/15/2011
2384,9/21/2010,High,7,1810.67,Delivery Truck,50,Muhammed MacIntyre,Small Business,Furniture,Jumbo Drum,9/22/2010
2402,8/17/2010,Not Specified,31,633.56,Regular Air,6.5,Muhammed MacIntyre,Small Business,Technology,Small Box,8/19/2010
2445,9/16/2009,Low,27,644.4,Regular Air,16.87,Don Miller,Home Office,Office Supplies,Small Box,9/16/2009
2483,6/22/2009,High,7,1211.98,Delivery Truck,26.2,Sylvia Foulston,Corporate,Furniture,Jumbo Drum,6/23/2009
2487,8/28/2012,Not Specified,27,3316.08,Delivery Truck,30,Becky Castell,Consumer,Furniture,Jumbo Drum,8/30/2012
2489,6/7/2011,Critical,48,207.08,Regular Air,5.17,Dorothy Wardle,Corporate,Office Supplies,Small Box,6/9/2011
2490,6/7/2011,Critical,8,234.28,Regular Air,13.99,Dorothy Wardle,Corporate,Office Supplies,Medium Box,6/9/2011
2491,6/7/2011,Critical,41,1779.8915,Regular Air,5,Dorothy Wardle,Corporate,Technology,Small Pack,6/9/2011
2520,10/9/2009,Not Specified,30,114.12,Regular Air,1.49,Ann Chong,Corporate,Office Supplies,Small Box,10/11/2009
2521,10/9/2009,Not Specified,15,436.05,Regular Air,4,Ann Chong,Corporate,Technology,Small Box,10/9/2009
2522,10/9/2009,Not Specified,49,5247.4835,Regular Air,8.08,Ann Chong,Corporate,Technology,Small Box,10/10/2009
2615,12/5/2010,Not Specified,9,173.417,Regular Air,0.99,Clay Rozendal,Corporate,Technology,Wrap Bag,12/7/2010
2624,6/7/2009,Low,18,23792.93,Regular Air,19.99,Grant Carroll,Small Business,Office Supplies,Small Box,6/9/2009
2637,7/27/2009,Critical,21,256.12,Regular Air,4.98,Brendan Dodson,Corporate,Office Supplies,Small Box,7/28/2009
2643,9/5/2011,Low,30,387,Express Air,6.13,Carlos Daly,Home Office,Office Supplies,Small Box,9/10/2011
2726,1/11/2009,High,31,1143.45,Regular Air,1.99,Alan Barnes,Corporate,Technology,Small Pack,1/12/2009
2727,8/15/2010,Medium,2,42.31,Regular Air,8.51,Alan Barnes,Corporate,Technology,Medium Box,8/15/2010
2728,8/15/2010,Medium,11,152.67,Regular Air,4.98,Alan Barnes,Corporate,Office Supplies,Small Box,8/17/2010
2768,8/5/2009,Not Specified,49,82.61,Regular Air,1.57,Nicole Hansen,Small Business,Office Supplies,Wrap Bag,8/6/2009
2782,9/17/2011,Medium,31,789.94,Delivery Truck,14.36,Cari Schnelling,Home Office,Furniture,Jumbo Drum,9/19/2011
2796,10/22/2011,Low,42,435.24,Express Air,1.79,Chad Cunningham,Small Business,Office Supplies,Wrap Bag,10/24/2011
2811,11/14/2009,Medium,8,473.7,Regular Air,10.29,Bryan Mills,Small Business,Office Supplies,Small Box,11/15/2009
2812,11/14/2009,Medium,33,553.5625,Regular Air,1.25,Bryan Mills,Small Business,Technology,Small Pack,11/16/2009
2935,7/3/2010,Medium,32,54.78,Regular Air,1.57,Adrian Hane,Corporate,Office Supplies,Wrap Bag,7/4/2010
2936,7/3/2010,Medium,47,304.83,Regular Air,2.35,Adrian Hane,Corporate,Office Supplies,Wrap Bag,7/5/2010
2956,1/30/2009,Low,31,16066.85,Regular Air,24.49,Rick Reed,Consumer,Technology,Large Box,2/4/2009
2999,3/15/2012,Not Specified,17,618.9,Regular Air,13.89,Heather Kirkland,Home Office,Office Supplies,Wrap Bag,3/17/2012
3006,8/10/2009,Low,35,1665.0395,Regular Air,3.3,Fred Wasserman,Home Office,Technology,Small Pack,8/10/2009
3052,4/1/2010,Low,21,1049.79,Regular Air,19.99,Becky Castell,Consumer,Furniture,Small Box,4/8/2010
3053,4/1/2010,Low,16,817.18,Regular Air,5.08,Becky Castell,Consumer,Office Supplies,Small Box,4/3/2010
3089,7/31/2010,High,49,465.83,Regular Air,6.22,Beth Thompson,Corporate,Furniture,Small Box,7/31/2010
3110,5/29/2009,Low,13,241.706,Regular Air,3.3,Claudia Miner,Small Business,Technology,Small Pack,6/5/2009
3135,10/11/2010,High,44,275.91,Regular Air,5.03,Jack Lebron,Corporate,Technology,Medium Box,10/13/2010
3138,5/18/2010,High,2,30.83,Express Air,1.39,Alan Barnes,Corporate,Office Supplies,Small Box,5/19/2010
3140,2/8/2011,Critical,13,121.66,Regular Air,5.6,Carlos Soltero,Consumer,Office Supplies,Small Box,2/8/2011
3244,12/7/2010,Critical,16,108.42,Regular Air,6.81,Clay Rozendal,Corporate,Office Supplies,Small Box,12/9/2010
3245,12/7/2010,Critical,27,78.47,Regular Air,0.99,Clay Rozendal,Corporate,Office Supplies,Small Box,12/9/2010
3284,1/6/2009,Critical,30,26133.39,Delivery Truck,44.55,Julia West,Home Office,Furniture,Jumbo Box,1/7/2009
